127.0.0.1 - admin [16/Feb/2024:14:14:37 -0600] "PUT /manager/text/deploy?path=%2Fwebapp&update=true HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:15:55 -0600] "GET /webapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:15:55 -0600] "GET /webapp/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [16/Feb/2024:14:15:55 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET / HTTP/1.1" 200 11435
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /tomcat.css HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:14 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:17 -0600] "GET /webapp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:25:17 -0600] "GET /webapp/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:26:42 -0600] "GET /manager HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:26:42 -0600] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:26:43 -0600] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - admin [16/Feb/2024:15:26:48 -0600] "GET /manager/html HTTP/1.1" 200 20085
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:26:48 -0600] "GET /manager/css/manager.css HTTP/1.1" 200 2946
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:26:48 -0600] "GET /manager/images/tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [16/Feb/2024:15:26:48 -0600] "GET /manager/images/asf-logo.svg HTTP/1.1" 200 20712
0:0:0:0:0:0:0:1 - admin [16/Feb/2024:18:16:00 -0600] "POST /manager/html/upload;jsessionid=9F3F4DB999733C5E1A12631F0A01AAB8?org.apache.catalina.filters.CSRF_NONCE=FF881E6603EF2B0C96DB4BF0959AC888 HTTP/1.1" 403 3529
0:0:0:0:0:0:0:1 - - [16/Feb/2024:18:16:09 -0600] "GET /manage HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [16/Feb/2024:18:16:11 -0600] "GET /manager HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:18:16:11 -0600] "GET /manager/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - admin [16/Feb/2024:18:16:11 -0600] "GET /manager/html HTTP/1.1" 200 18501
0:0:0:0:0:0:0:1 - admin [16/Feb/2024:18:16:50 -0600] "GET /manager/html HTTP/1.1" 200 18501
0:0:0:0:0:0:0:1 - admin [16/Feb/2024:18:17:10 -0600] "POST /manager/html/upload?org.apache.catalina.filters.CSRF_NONCE=D3CC461B680F210FB15359F91B8630BD HTTP/1.1" 200 20420
0:0:0:0:0:0:0:1 - - [16/Feb/2024:18:17:51 -0600] "GET /webapp-1.0-SNAPSHOT/ HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [16/Feb/2024:18:18:13 -0600] "GET /webapp/ HTTP/1.1" 304 -
